Filename,Category
DL024_night15.edf,People and Social Interaction
DL024_night03.edf,Adventure and Movement
DL024_night16.edf,Fear and Uncertainity
DL024_night06.edf,Adventure and Movement
DL024_night12.edf,People and Social Interaction
DL024_night07.edf,People and Social Interaction
DL024_night11.edf,Abstract and Thought based
DL024_night05.edf,People and Social Interaction
DL024_night04.edf,People and Social Interaction
DL024_night09.edf,People and Social Interaction
DL024_night08.edf,People and Social Interaction
DL078_night14.edf,Fear and Uncertainity
DL078_night01.edf,People and Social Interaction
DL078_night02.edf,People and Social Interaction
DL078_night07.edf,People and Social Interaction
DL078_night05.edf,People and Social Interaction
DL078_night11.edf,People and Social Interaction
DL078_night04.edf,Abstract and Thought based
DL049_night04.edf,Fear and Uncertainity
DL049_night06.edf,Adventure and Movement
DL049_night07.edf,People and Social Interaction
DL049_night03.edf,Adventure and Movement
DL049_night02.edf,People and Social Interaction
DL049_night01.edf,Abstract and Thought based
DL014_night08.edf,People and Social Interaction
DL014_night03.edf,Adventure and Movement
DL014_night04.edf,People and Social Interaction
DL062_night09.edf,People and Social Interaction
DL062_night15.edf,People and Social Interaction
DL062_night01.edf,Fear and Uncertainity
DL062_night03.edf,People and Social Interaction
DL062_night06.edf,People and Social Interaction
DL062_night07.edf,People and Social Interaction
DL062_night05.edf,People and Social Interaction
DL062_night04.edf,People and Social Interaction
DL006_night11.edf,Fear and Uncertainity
DL006_night04.edf,People and Social Interaction
DL006_night15.edf,People and Social Interaction
DL006_night02.edf,People and Social Interaction
DL030_night08.edf,People and Social Interaction
DL030_night07.edf,Abstract and Thought based
DL030_night11.edf,People and Social Interaction
DL030_night04.edf,Fear and Uncertainity
DL030_night10.edf,People and Social Interaction
DL030_night14.edf,Adventure and Movement
DL030_night03.edf,Abstract and Thought based
DL030_night02.edf,People and Social Interaction
DL008_night15.edf,People and Social Interaction
DL008_night11.edf,Abstract and Thought based
DL055_night12.edf,Adventure and Movement
DL055_night06.edf,Abstract and Thought based
DL055_night14.edf,People and Social Interaction
DL016_night13.edf,Adventure and Movement
DL016_night04.edf,People and Social Interaction
DL018_night07.edf,Abstract and Thought based
DL027_night10.edf,Adventure and Movement
DL027_night14.edf,Abstract and Thought based
DL027_night09.edf,People and Social Interaction
DL073_night03.edf,Adventure and Movement
DL073_night14.edf,People and Social Interaction
DL073_night07.edf,Abstract and Thought based
DL073_night13.edf,Adventure and Movement
DL080_night05.edf,Adventure and Movement
DL080_night01.edf,People and Social Interaction
DL042_night07.edf,People and Social Interaction
DL042_night05.edf,Abstract and Thought based
DL042_night04.edf,People and Social Interaction
DL042_night01.edf,People and Social Interaction
DL042_night02.edf,People and Social Interaction
DL019_night10.edf,Abstract and Thought based
DL021_night06.edf,Adventure and Movement
DL021_night14.edf,Fear and Uncertainity
DL021_night15.edf,People and Social Interaction
DL021_night09.edf,Fear and Uncertainity
DL021_night08.edf,Adventure and Movement
DL017_night09.edf,People and Social Interaction
DL017_night05.edf,Adventure and Movement
DL017_night02.edf,Abstract and Thought based
DL017_night15.edf,People and Social Interaction
DL017_night01.edf,Abstract and Thought based
DL086_night08.edf,Adventure and Movement
DL086_night04.edf,Fear and Uncertainity
DL086_night10.edf,Abstract and Thought based
DL086_night11.edf,Adventure and Movement
DL086_night05.edf,People and Social Interaction
DL086_night13.edf,Adventure and Movement
DL086_night02.edf,Abstract and Thought based
DL086_night01.edf,Adventure and Movement
DL086_night15.edf,People and Social Interaction
DL086_night14.edf,People and Social Interaction
DL050_night08.edf,People and Social Interaction
DL050_night07.edf,Adventure and Movement
DL059_night09.edf,Miscellaneous & Unclear
DL005_night05.edf,People and Social Interaction
DL005_night09.edf,People and Social Interaction
DL034_night04.edf,People and Social Interaction
DL034_night01.edf,Adventure and Movement
DL034_night02.edf,People and Social Interaction
DL034_night08.edf,People and Social Interaction
DL034_night09.edf,People and Social Interaction
22MC_seg02.edf,Miscellaneous & Unclear
69SD_seg01.edf,Abstract and Thought based
85TP_seg02.edf,Abstract and Thought based
04JE_seg01.edf,Abstract and Thought based
71EV_seg02.edf,Abstract and Thought based
73MT_seg03.edf,Abstract and Thought based
24MF_seg03.edf,Abstract and Thought based
60MF_seg01.edf,Abstract and Thought based
58JF_seg04.edf,Miscellaneous & Unclear
87LI_seg03.edf,People and Social Interaction
19GL_seg03.edf,Miscellaneous & Unclear
19GL_seg02.edf,Fear and Uncertainity
87LI_seg02.edf,Miscellaneous & Unclear
24MF_seg02.edf,Abstract and Thought based
73MT_seg02.edf,Abstract and Thought based
71EV_seg03.edf,People and Social Interaction
85TP_seg03.edf,Abstract and Thought based
22MC_seg03.edf,Miscellaneous & Unclear
69SD_seg02.edf,Abstract and Thought based
22MC_seg01.edf,Miscellaneous & Unclear
85TP_seg01.edf,Abstract and Thought based
77EL_seg04.edf,Abstract and Thought based
71EV_seg01.edf,Abstract and Thought based
04JE_seg02.edf,People and Social Interaction
61AC_seg04.edf,Abstract and Thought based
60MF_seg02.edf,Adventure and Movement
62GL_seg04.edf,People and Social Interaction
19GL_seg01.edf,Abstract and Thought based
48CM_seg04.edf,Abstract and Thought based
87LI_seg01.edf,People and Social Interaction
60MF_seg03.edf,Adventure and Movement
24MF_seg01.edf,Abstract and Thought based
73MT_seg01.edf,Abstract and Thought based
04JE_seg03.edf,Abstract and Thought based
69SD_seg03.edf,Fear and Uncertainity
85TP_seg04.edf,Abstract and Thought based
77EL_seg01.edf,Abstract and Thought based
22MC_seg04.edf,Miscellaneous & Unclear
61AC_seg01.edf,Abstract and Thought based
79PV_seg03.edf,Abstract and Thought based
58JF_seg02.edf,Abstract and Thought based
62GL_seg01.edf,Miscellaneous & Unclear
48CM_seg01.edf,Abstract and Thought based
19GL_seg04.edf,Miscellaneous & Unclear
58JF_seg03.edf,People and Social Interaction
87LI_seg04.edf,Abstract and Thought based
79PV_seg02.edf,Abstract and Thought based
24MF_seg04.edf,Abstract and Thought based
73MT_seg04.edf,Miscellaneous & Unclear
77EL_seg02.edf,Abstract and Thought based
69SD_seg04.edf,Abstract and Thought based
04JE_seg04.edf,People and Social Interaction
61AC_seg02.edf,Adventure and Movement
62GL_seg02.edf,People and Social Interaction
58JF_seg01.edf,Abstract and Thought based
60MF_seg04.edf,Adventure and Movement
48CM_seg03.edf,Abstract and Thought based
48CM_seg02.edf,People and Social Interaction
62GL_seg03.edf,Abstract and Thought based
79PV_seg01.edf,Abstract and Thought based
61AC_seg03.edf,Abstract and Thought based
77EL_seg03.edf,Miscellaneous & Unclear
49FR_seg02.edf,Abstract and Thought based
50LA_seg03.edf,Abstract and Thought based
23EH_seg02.edf,Abstract and Thought based
08JJ_seg04.edf,Miscellaneous & Unclear
26MM_seg01.edf,Abstract and Thought based
76SG_seg02.edf,Miscellaneous & Unclear
82NM_seg04.edf,Abstract and Thought based
81LT_seg01.edf,Abstract and Thought based
75HL_seg04.edf,Miscellaneous & Unclear
76SG_seg03.edf,Adventure and Movement
23EH_seg03.edf,Abstract and Thought based
50LA_seg02.edf,Abstract and Thought based
49FR_seg03.edf,Abstract and Thought based
16SA_seg04.edf,Abstract and Thought based
56CF_seg04.edf,Miscellaneous & Unclear
11FL_seg04.edf,People and Social Interaction
49FR_seg01.edf,Abstract and Thought based
26MM_seg02.edf,Abstract and Thought based
23EH_seg01.edf,Abstract and Thought based
76SG_seg01.edf,Abstract and Thought based
54IR_seg04.edf,Miscellaneous & Unclear
81LT_seg03.edf,Abstract and Thought based
81LT_seg02.edf,Abstract and Thought based
26MM_seg03.edf,Abstract and Thought based
50LA_seg01.edf,Abstract and Thought based
29RL_seg04.edf,People and Social Interaction
11FL_seg03.edf,Abstract and Thought based
56CF_seg03.edf,Miscellaneous & Unclear
49FR_seg04.edf,People and Social Interaction
16SA_seg03.edf,Abstract and Thought based
23EH_seg04.edf,Abstract and Thought based
08JJ_seg02.edf,Abstract and Thought based
82NM_seg02.edf,Abstract and Thought based
75HL_seg03.edf,Abstract and Thought based
54IR_seg01.edf,Abstract and Thought based
75HL_seg02.edf,Abstract and Thought based
82NM_seg03.edf,Abstract and Thought based
08JJ_seg03.edf,Adventure and Movement
50LA_seg04.edf,Adventure and Movement
16SA_seg02.edf,Abstract and Thought based
56CF_seg02.edf,Adventure and Movement
11FL_seg02.edf,People and Social Interaction
29RL_seg01.edf,People and Social Interaction
29RL_seg03.edf,Adventure and Movement
08JJ_seg01.edf,Abstract and Thought based
26MM_seg04.edf,Miscellaneous & Unclear
82NM_seg01.edf,Abstract and Thought based
54IR_seg02.edf,Abstract and Thought based
54IR_seg03.edf,People and Social Interaction
75HL_seg01.edf,Abstract and Thought based
81LT_seg04.edf,Miscellaneous & Unclear
16SA_seg01.edf,Abstract and Thought based
56CF_seg01.edf,Abstract and Thought based
29RL_seg02.edf,Abstract and Thought based
11FL_seg01.edf,Abstract and Thought based
02KE_seg03.edf,People and Social Interaction
57AB_seg01.edf,Abstract and Thought based
07MD_seg01.edf,Abstract and Thought based
78MF_seg03.edf,Abstract and Thought based
70FM_seg02.edf,Abstract and Thought based
68LC_seg04.edf,Adventure and Movement
01NN_seg01.edf,Abstract and Thought based
65LH_seg04.edf,Miscellaneous & Unclear
14SB_seg01.edf,Abstract and Thought based
15FT_seg04.edf,Miscellaneous & Unclear
05NS_seg03.edf,Abstract and Thought based
67SB_seg03.edf,Abstract and Thought based
27YS_seg02.edf,Miscellaneous & Unclear
27YS_seg03.edf,Miscellaneous & Unclear
67SB_seg02.edf,Abstract and Thought based
05NS_seg02.edf,Abstract and Thought based
84KC_seg01.edf,People and Social Interaction
30TC_seg04.edf,Abstract and Thought based
51MA_seg04.edf,Miscellaneous & Unclear
70FM_seg03.edf,Abstract and Thought based
78MF_seg02.edf,Adventure and Movement
02KE_seg02.edf,Miscellaneous & Unclear
74JV_seg04.edf,Abstract and Thought based
57AB_seg02.edf,Abstract and Thought based
07MD_seg02.edf,Abstract and Thought based
03MG_seg04.edf,Abstract and Thought based
70FM_seg01.edf,Adventure and Movement
01NN_seg02.edf,Abstract and Thought based
84KC_seg03.edf,People and Social Interaction
14SB_seg02.edf,Abstract and Thought based
27YS_seg01.edf,Abstract and Thought based
09PP_seg04.edf,Miscellaneous & Unclear
67SB_seg01.edf,Abstract and Thought based
05NS_seg01.edf,Abstract and Thought based
14SB_seg03.edf,Miscellaneous & Unclear
84KC_seg02.edf,Abstract and Thought based
01NN_seg03.edf,Miscellaneous & Unclear
78MF_seg01.edf,Abstract and Thought based
07MD_seg03.edf,People and Social Interaction
57AB_seg03.edf,Abstract and Thought based
02KE_seg01.edf,Abstract and Thought based
03MG_seg01.edf,Abstract and Thought based
74JV_seg03.edf,Abstract and Thought based
70FM_seg04.edf,Abstract and Thought based
30TC_seg03.edf,Abstract and Thought based
51MA_seg03.edf,Miscellaneous & Unclear
68LC_seg02.edf,People and Social Interaction
65LH_seg02.edf,Abstract and Thought based
83JB_seg02.edf,Abstract and Thought based
15FT_seg02.edf,Abstract and Thought based
27YS_seg04.edf,Miscellaneous & Unclear
09PP_seg01.edf,Abstract and Thought based
67SB_seg04.edf,Abstract and Thought based
15FT_seg03.edf,Abstract and Thought based
05NS_seg04.edf,Abstract and Thought based
83JB_seg03.edf,Abstract and Thought based
65LH_seg03.edf,Abstract and Thought based
68LC_seg03.edf,Adventure and Movement
30TC_seg02.edf,Abstract and Thought based
51MA_seg02.edf,Adventure and Movement
78MF_seg04.edf,Abstract and Thought based
02KE_seg04.edf,Miscellaneous & Unclear
74JV_seg02.edf,Abstract and Thought based
57AB_seg04.edf,Abstract and Thought based
07MD_seg04.edf,Abstract and Thought based
03MG_seg02.edf,Miscellaneous & Unclear
68LC_seg01.edf,Abstract and Thought based
65LH_seg01.edf,Abstract and Thought based
01NN_seg04.edf,Miscellaneous & Unclear
14SB_seg04.edf,People and Social Interaction
83JB_seg01.edf,Abstract and Thought based
15FT_seg01.edf,Abstract and Thought based
09PP_seg03.edf,Miscellaneous & Unclear
09PP_seg02.edf,Abstract and Thought based
51MA_seg01.edf,Adventure and Movement
30TC_seg01.edf,Abstract and Thought based
74JV_seg01.edf,Abstract and Thought based
03MG_seg03.edf,Abstract and Thought based
55AH_seg03.edf,People and Social Interaction
18FS_seg01.edf,Abstract and Thought based
06DC_seg04.edf,Adventure and Movement
86CL_seg04.edf,Abstract and Thought based
17AM_seg01.edf,Abstract and Thought based
52CL_seg04.edf,Miscellaneous & Unclear
12VN_seg01.edf,Abstract and Thought based
63EB_seg01.edf,Abstract and Thought based
13BT_seg01.edf,Abstract and Thought based
53GL_seg04.edf,Abstract and Thought based
55AH_seg02.edf,Abstract and Thought based
13BT_seg03.edf,Abstract and Thought based
63EB_seg03.edf,Abstract and Thought based
12VN_seg03.edf,Abstract and Thought based
72FS_seg04.edf,Miscellaneous & Unclear
18FS_seg02.edf,Abstract and Thought based
10FS_seg04.edf,Abstract and Thought based
17AM_seg03.edf,Abstract and Thought based
17AM_seg02.edf,Abstract and Thought based
18FS_seg03.edf,Abstract and Thought based
55AH_seg01.edf,Abstract and Thought based
12VN_seg02.edf,Abstract and Thought based
63EB_seg02.edf,Miscellaneous & Unclear
13BT_seg02.edf,Abstract and Thought based
53GL_seg03.edf,Abstract and Thought based
72FS_seg01.edf,Abstract and Thought based
80FR_seg02.edf,Abstract and Thought based
10FS_seg01.edf,Abstract and Thought based
06DC_seg02.edf,Adventure and Movement
86CL_seg02.edf,Abstract and Thought based
52CL_seg03.edf,Miscellaneous & Unclear
52CL_seg02.edf,Miscellaneous & Unclear
86CL_seg03.edf,Abstract and Thought based
06DC_seg03.edf,Abstract and Thought based
80FR_seg03.edf,Abstract and Thought based
55AH_seg04.edf,Abstract and Thought based
53GL_seg02.edf,Abstract and Thought based
72FS_seg02.edf,Abstract and Thought based
18FS_seg04.edf,Abstract and Thought based
80FR_seg01.edf,Abstract and Thought based
10FS_seg02.edf,Adventure and Movement
06DC_seg01.edf,Adventure and Movement
86CL_seg01.edf,Abstract and Thought based
52CL_seg01.edf,Abstract and Thought based
17AM_seg04.edf,People and Social Interaction
10FS_seg03.edf,Adventure and Movement
12VN_seg04.edf,Abstract and Thought based
63EB_seg04.edf,People and Social Interaction
13BT_seg04.edf,Abstract and Thought based
53GL_seg01.edf,Abstract and Thought based
72FS_seg03.edf,Abstract and Thought based
subject010_Morning.edf,People and Social Interaction
subject010_NREM.edf,Abstract and Thought based
subject010_REM.edf,People and Social Interaction
subject010_SO1.edf,Miscellaneous & Unclear
subject010_SO10.edf,Adventure and Movement
subject010_SO2.edf,Abstract and Thought based
subject010_SO3.edf,People and Social Interaction
subject010_SO4.edf,Abstract and Thought based
subject010_SO5.edf,Fear and Uncertainity
subject010_SO6.edf,Adventure and Movement
subject010_SO7.edf,People and Social Interaction
subject010_SO8.edf,Adventure and Movement
subject010_SO9.edf,Abstract and Thought based
subject026_Morning.edf,People and Social Interaction
subject026_NREM.edf,Fear and Uncertainity
subject026_REM.edf,Miscellaneous & Unclear
subject026_SO1.edf,Abstract and Thought based
subject026_SO10.edf,Abstract and Thought based
subject026_SO2.edf,Fear and Uncertainity
subject026_SO3.edf,Abstract and Thought based
subject026_SO4.edf,Abstract and Thought based
subject026_SO5.edf,Abstract and Thought based
subject026_SO6.edf,Abstract and Thought based
subject026_SO7.edf,Miscellaneous & Unclear
subject026_SO8.edf,Abstract and Thought based
subject026_SO9.edf,Abstract and Thought based
subject030_Morning.edf,Miscellaneous & Unclear
subject030_NREM.edf,Miscellaneous & Unclear
subject030_REM.edf,Miscellaneous & Unclear
subject030_SO1.edf,Miscellaneous & Unclear
subject030_SO10.edf,Miscellaneous & Unclear
subject030_SO2.edf,Adventure and Movement
subject030_SO3.edf,Abstract and Thought based
subject030_SO4.edf,Miscellaneous & Unclear
subject030_SO5.edf,Abstract and Thought based
subject030_SO6.edf,Miscellaneous & Unclear
subject030_SO7.edf,Miscellaneous & Unclear
subject030_SO8.edf,Abstract and Thought based
subject030_SO9.edf,Miscellaneous & Unclear
subject042_Morning.edf,Abstract and Thought based
subject042_NREM.edf,Miscellaneous & Unclear
subject042_REM.edf,Miscellaneous & Unclear
subject042_SO1.edf,People and Social Interaction
subject042_SO2.edf,Abstract and Thought based
subject042_SO3.edf,Abstract and Thought based
subject042_SO4.edf,People and Social Interaction
subject083_Morning.edf,Miscellaneous & Unclear
subject083_NREM.edf,Miscellaneous & Unclear
subject083_REM.edf,Adventure and Movement
subject083_SO1.edf,Miscellaneous & Unclear
subject083_SO2.edf,People and Social Interaction
subject088_Morning.edf,People and Social Interaction
subject088_NREM.edf,Miscellaneous & Unclear
subject088_REM.edf,People and Social Interaction
subject088_SO1.edf,Abstract and Thought based
subject088_SO10.edf,Adventure and Movement
subject088_SO2.edf,People and Social Interaction
subject088_SO3.edf,Abstract and Thought based
subject088_SO4.edf,People and Social Interaction
subject088_SO5.edf,Abstract and Thought based
subject088_SO6.edf,People and Social Interaction
subject088_SO7.edf,People and Social Interaction
subject088_SO8.edf,Abstract and Thought based
subject088_SO9.edf,People and Social Interaction
subject107_Morning.edf,Abstract and Thought based
subject107_NREM.edf,Abstract and Thought based
subject107_REM.edf,Abstract and Thought based
subject107_SO1.edf,Abstract and Thought based
subject107_SO10.edf,Abstract and Thought based
subject107_SO2.edf,Abstract and Thought based
subject107_SO3.edf,Abstract and Thought based
subject107_SO4.edf,Abstract and Thought based
subject107_SO6.edf,Abstract and Thought based
subject107_SO7.edf,Abstract and Thought based
subject107_SO8.edf,Abstract and Thought based
subject107_SO9.edf,Abstract and Thought based
subject126_Morning.edf,People and Social Interaction
subject126_NREM.edf,Abstract and Thought based
subject126_REM.edf,People and Social Interaction
subject126_SO1.edf,People and Social Interaction
subject126_SO10.edf,Abstract and Thought based
subject126_SO2.edf,Abstract and Thought based
subject126_SO3.edf,Adventure and Movement
subject126_SO4.edf,Abstract and Thought based
subject126_SO5.edf,People and Social Interaction
subject126_SO6.edf,People and Social Interaction
subject126_SO7.edf,Abstract and Thought based
subject126_SO8.edf,People and Social Interaction
subject126_SO9.edf,People and Social Interaction
subject181_Morning.edf,People and Social Interaction
subject181_NREM.edf,Miscellaneous & Unclear
subject181_REM.edf,Abstract and Thought based
subject181_SO1.edf,People and Social Interaction
subject181_SO10.edf,Adventure and Movement
subject181_SO2.edf,Abstract and Thought based
subject181_SO3.edf,Miscellaneous & Unclear
subject181_SO4.edf,Adventure and Movement
subject181_SO5.edf,People and Social Interaction
subject181_SO6.edf,Adventure and Movement
subject181_SO7.edf,Abstract and Thought based
subject181_SO8.edf,People and Social Interaction
subject181_SO9.edf,People and Social Interaction
subject183_Morning.edf,Miscellaneous & Unclear
subject183_NREM.edf,Miscellaneous & Unclear
subject183_REM.edf,Miscellaneous & Unclear
subject183_SO1.edf,Miscellaneous & Unclear
subject183_SO10.edf,Adventure and Movement
subject183_SO2.edf,Miscellaneous & Unclear
subject183_SO3.edf,Adventure and Movement
subject183_SO4.edf,Abstract and Thought based
subject183_SO5.edf,Miscellaneous & Unclear
subject183_SO6.edf,Miscellaneous & Unclear
subject183_SO7.edf,People and Social Interaction
subject183_SO8.edf,Abstract and Thought based
subject183_SO9.edf,Abstract and Thought based
subject185_Morning.edf,People and Social Interaction
subject185_NREM.edf,Fear and Uncertainity
subject185_REM.edf,Abstract and Thought based
subject185_SO1.edf,Abstract and Thought based
subject185_SO2.edf,Abstract and Thought based
subject185_SO3.edf,People and Social Interaction
subject185_SO4.edf,People and Social Interaction
subject185_SO5.edf,Miscellaneous & Unclear
subject185_SO6.edf,People and Social Interaction
subject228_Morning.edf,Miscellaneous & Unclear
subject228_NREM.edf,Miscellaneous & Unclear
subject228_REM.edf,Miscellaneous & Unclear
subject228_SO1.edf,Adventure and Movement
subject228_SO2.edf,Abstract and Thought based
subject228_SO3.edf,Abstract and Thought based
subject228_SO4.edf,Miscellaneous & Unclear
subject228_SO5.edf,Miscellaneous & Unclear
subject228_SO6.edf,Abstract and Thought based
subject228_SO7.edf,Miscellaneous & Unclear
subject228_SO8.edf,Adventure and Movement
subject245_Morning.edf,People and Social Interaction
subject245_NREM.edf,Abstract and Thought based
subject245_REM.edf,Abstract and Thought based
subject245_SO1.edf,Abstract and Thought based
subject245_SO10.edf,Abstract and Thought based
subject245_SO2.edf,Adventure and Movement
subject245_SO3.edf,Miscellaneous & Unclear
subject245_SO4.edf,Abstract and Thought based
subject245_SO5.edf,Abstract and Thought based
subject245_SO6.edf,Abstract and Thought based
subject245_SO7.edf,Miscellaneous & Unclear
subject245_SO8.edf,Abstract and Thought based
subject245_SO9.edf,Abstract and Thought based
subject249_Morning.edf,Miscellaneous & Unclear
subject249_NREM.edf,Miscellaneous & Unclear
subject249_REM.edf,People and Social Interaction
subject249_SO1.edf,Abstract and Thought based
subject249_SO10.edf,Abstract and Thought based
subject249_SO2.edf,Abstract and Thought based
subject249_SO3.edf,Adventure and Movement
subject249_SO4.edf,Abstract and Thought based
subject249_SO5.edf,Adventure and Movement
subject249_SO6.edf,Abstract and Thought based
subject249_SO7.edf,Abstract and Thought based
subject249_SO8.edf,Abstract and Thought based
subject249_SO9.edf,People and Social Interaction
subject266_Morning.edf,Miscellaneous & Unclear
subject266_NREM.edf,Miscellaneous & Unclear
subject266_REM.edf,Miscellaneous & Unclear
subject266_SO1.edf,Abstract and Thought based
subject266_SO2.edf,Abstract and Thought based
subject266_SO3.edf,Abstract and Thought based
subject309_Morning.edf,Adventure and Movement
subject309_NREM.edf,People and Social Interaction
subject309_REM.edf,Adventure and Movement
subject309_SO1.edf,Abstract and Thought based
subject309_SO10.edf,Abstract and Thought based
subject309_SO2.edf,Miscellaneous & Unclear
subject309_SO3.edf,People and Social Interaction
subject309_SO4.edf,Abstract and Thought based
subject309_SO5.edf,Abstract and Thought based
subject309_SO6.edf,People and Social Interaction
subject309_SO7.edf,People and Social Interaction
subject309_SO8.edf,Abstract and Thought based
subject309_SO9.edf,Abstract and Thought based
subject337_Morning.edf,Miscellaneous & Unclear
subject337_NREM.edf,Miscellaneous & Unclear
subject337_REM.edf,Abstract and Thought based
subject337_SO1.edf,Abstract and Thought based
subject337_SO2.edf,Miscellaneous & Unclear
subject337_SO3.edf,Abstract and Thought based
subject337_SO4.edf,Miscellaneous & Unclear
subject337_SO5.edf,Miscellaneous & Unclear
subject337_SO6.edf,Abstract and Thought based
subject347_Morning.edf,Abstract and Thought based
subject347_NREM.edf,Miscellaneous & Unclear
subject347_REM.edf,Abstract and Thought based
subject347_SO1.edf,Adventure and Movement
subject347_SO10.edf,Adventure and Movement
subject347_SO2.edf,People and Social Interaction
subject347_SO3.edf,Abstract and Thought based
subject347_SO4.edf,Abstract and Thought based
subject347_SO5.edf,People and Social Interaction
subject347_SO6.edf,Adventure and Movement
subject347_SO7.edf,Abstract and Thought based
subject347_SO8.edf,People and Social Interaction
subject347_SO9.edf,People and Social Interaction
subject348_Morning.edf,Abstract and Thought based
subject348_NREM.edf,Adventure and Movement
subject348_REM.edf,Abstract and Thought based
subject348_SO1.edf,Adventure and Movement
subject348_SO2.edf,People and Social Interaction
subject348_SO3.edf,People and Social Interaction
subject348_SO4.edf,People and Social Interaction
subject348_SO5.edf,Abstract and Thought based
subject348_SO6.edf,Adventure and Movement
subject348_SO7.edf,Abstract and Thought based
subject374_Morning.edf,Abstract and Thought based
subject374_NREM.edf,People and Social Interaction
subject374_REM.edf,Abstract and Thought based
subject374_SO1.edf,Abstract and Thought based
subject374_SO10.edf,Abstract and Thought based
subject374_SO2.edf,Abstract and Thought based
subject374_SO3.edf,Abstract and Thought based
subject374_SO4.edf,Abstract and Thought based
subject374_SO5.edf,Abstract and Thought based
subject374_SO6.edf,Abstract and Thought based
subject374_SO7.edf,People and Social Interaction
subject374_SO8.edf,Adventure and Movement
subject374_SO9.edf,People and Social Interaction
subject384_Morning.edf,Abstract and Thought based
subject384_NREM.edf,Abstract and Thought based
subject384_REM.edf,People and Social Interaction
subject384_SO1.edf,Abstract and Thought based
subject384_SO2.edf,People and Social Interaction
subject384_SO3.edf,People and Social Interaction
subject388_Morning.edf,Abstract and Thought based
subject388_NREM.edf,Abstract and Thought based
subject388_REM.edf,Adventure and Movement
subject388_SO1.edf,Abstract and Thought based
subject388_SO2.edf,People and Social Interaction
subject388_SO3.edf,People and Social Interaction
subject411_Morning.edf,Abstract and Thought based
subject411_NREM.edf,People and Social Interaction
subject411_REM.edf,Abstract and Thought based
subject411_SO1.edf,People and Social Interaction
subject411_SO10.edf,Abstract and Thought based
subject411_SO2.edf,People and Social Interaction
subject411_SO3.edf,People and Social Interaction
subject411_SO4.edf,Adventure and Movement
subject411_SO5.edf,People and Social Interaction
subject411_SO6.edf,Abstract and Thought based
subject411_SO7.edf,People and Social Interaction
subject411_SO8.edf,Abstract and Thought based
subject411_SO9.edf,Adventure and Movement
subject422_Morning.edf,People and Social Interaction
subject422_NREM.edf,Abstract and Thought based
subject422_REM.edf,Abstract and Thought based
subject422_SO1.edf,Abstract and Thought based
subject422_SO10.edf,Miscellaneous & Unclear
subject422_SO2.edf,Abstract and Thought based
subject422_SO3.edf,Abstract and Thought based
subject422_SO4.edf,Miscellaneous & Unclear
subject422_SO5.edf,Abstract and Thought based
subject422_SO6.edf,People and Social Interaction
subject422_SO7.edf,Miscellaneous & Unclear
subject422_SO8.edf,Adventure and Movement
subject422_SO9.edf,Miscellaneous & Unclear
subject452_Morning.edf,Abstract and Thought based
